method,lambda_val,epoch,train_total_loss,train_ce_loss,train_aux_loss,train_src_acc,eval_src_acc,eval_tgt_acc,target_acc,target_macro_f1,mmd2,sinkhorn_div,domain_auc,domain_acc,ot_on_diag,recall_elliptical,recall_irregular,recall_spiral,cmmd_elliptical,cmmd_irregular,cmmd_spiral,domAUC_elliptical,domAUC_irregular,domAUC_spiral,phase,epoch_original
MMD,0.1,4,0.4882491560692483,0.4838913065110538,0.0435784929398949,81.4,67.5,37.9,37.9,0.1859242893059011,0.1807322382412101,0.0276761353015899,0.9954992711370262,0.949404761904762,,0.0050590219224283,0.0,1.0,0.4676346409059042,0.2732334128586344,0.2072314960211452,0.9951942601868148,0.7407407407407408,0.9403893805309734,initial,4
MMD,0.1,5,0.4888285266380783,0.4845380321250739,0.0429049335050244,81.63333333333334,74.2741935483871,48.9,48.9,0.3142710291652308,0.0823096599490165,0.0398213863372802,0.9276603498542274,0.8883928571428571,,0.2310286677908937,0.0,0.9361702127659576,0.4830359049350998,0.2131774696358206,0.0751361149083547,0.9765127927440098,0.7268518518518519,0.8211327433628317,initial,5
MMD,0.1,6,0.470506433001224,0.4660637653994222,0.0444266743271063,82.14444444444445,78.95161290322581,41.3,41.3,0.2325197625618877,0.1144452033963561,0.0257573463022708,0.987536443148688,0.9241071428571428,,0.0758853288364249,0.0,0.9787234042553192,0.5893907053677023,0.1983584467128802,0.1075185676353018,0.9760389874103154,0.7453703703703703,0.8857345132743363,resume,1
MMD,0.1,7,0.4794613099690025,0.4754413064595655,0.0402000298102696,81.82222222222222,69.35483870967742,69.5,69.5,0.4675247199061103,0.0963313077101488,0.0180996544659137,0.9255830903790088,0.8348214285714286,,0.6863406408094435,0.0,0.7659574468085106,0.4577560211178286,0.1828503101102767,0.0911708189363083,0.971030188168404,0.6990740740740741,0.7984778761061946,resume,2
MMD,0.1,8,0.4747450437317503,0.4706992313582846,0.0404581164425991,81.57777777777778,80.96774193548387,40.9,40.9,0.2217905805910345,0.0804790195154245,0.0165281817317008,0.8927933673469388,0.8467261904761905,,0.0556492411467116,0.0,1.0,0.5490012168065699,0.2293146753317119,0.0766393054567684,0.976918911601462,0.7499999999999999,0.7800353982300885,resume,3
MMD,0.1,9,0.4692152351775068,0.4650191043285613,0.0419613077496805,81.74444444444444,78.46774193548387,43.9,43.9,0.2629833241707898,0.1032872200419012,0.0189980808645486,0.9919642857142856,0.9598214285714286,,0.1281618887015177,0.0,0.9654255319148936,0.596956286828485,0.216339690126637,0.0867468262147703,0.9789495058887234,0.7430555555555555,0.9167433628318584,resume,4
MMD,0.1,10,0.4640481932260466,0.4602003288290179,0.038478653481666,82.45555555555555,75.96774193548387,52.5,52.5,0.3713273991637522,0.0810965814673014,0.0174358673393726,0.9266672740524782,0.9017857142857144,,0.3035413153456998,0.064516129032258,0.9122340425531916,0.5188397192550096,0.1952749875522488,0.0728462794646073,0.9773250304589144,0.7268518518518519,0.7944778761061947,resume,5
NoAdapt,0.0,1,0.5767526457495723,0.5767526457495723,0.0,77.62222222222222,77.58064516129032,37.8,37.8,0.1846766071785337,0.2926640487607124,0.0800266489386558,0.9214285714285716,0.8273809523809523,,0.0033726812816188,0.0,1.0,0.6162405219600282,0.5570174221665778,0.4229738800038842,0.9918099363747124,0.8796296296296297,0.887221238938053,initial,1
NoAdapt,0.0,2,0.5392467502689531,0.5392467502689531,0.0,79.62222222222222,80.64516129032258,39.7,39.7,0.2101405262360809,0.190464970564672,0.0392484217882156,0.9035896501457724,0.8110119047619048,,0.0404721753794266,0.0,0.9920212765957448,0.5384616063360386,0.4236149218416893,0.3101243625005537,0.9823338297008256,0.8078703703703703,0.8915398230088496,initial,2
NoAdapt,0.0,3,0.5113978220532972,0.5113978220532972,0.0,80.61111111111111,79.2741935483871,39.8,39.8,0.2128277777777777,0.1350554679313746,0.0252575688064098,0.9020408163265304,0.8348214285714286,,0.0455311973018549,0.0,0.9867021276595744,0.5410376210477745,0.3406778391434808,0.1691809049054806,0.9867334506565588,0.7800925925925926,0.8300530973451328,initial,3
NoAdapt,0.0,4,0.4979440387047774,0.4979440387047774,0.0,81.14444444444445,79.35483870967742,40.4,40.400000000000006,0.2197183076348469,0.1551532853103443,0.0293223056942224,0.9460003644314868,0.8764880952380952,,0.0556492411467116,0.0,0.9867021276595744,0.4940841655575885,0.3452912750289452,0.2016276393303322,0.9921483687559226,0.7939814814814814,0.8895929203539823,initial,4
NoAdapt,0.0,5,0.4936392357480441,0.4936392357480441,0.0,80.97777777777777,79.03225806451613,39.1,39.1,0.2006256686904623,0.1394283026505222,0.0278999395668506,0.9803115889212828,0.9419642857142856,,0.0252951096121416,0.0,1.0,0.6352511269501384,0.3470851743391199,0.1471148460301594,0.985718153512928,0.8078703703703703,0.920212389380531,initial,5
NoAdapt,0.0,6,0.4873366133435398,0.4873366133435398,0.0,81.63333333333334,79.43548387096774,39.3,39.3,0.2030285849849415,0.1597290617877282,0.0271584820002317,0.9693786443148688,0.8958333333333334,,0.0286677908937605,0.0,1.0,0.5609471680011529,0.2935183933628413,0.2005944185182309,0.9907269527548396,0.7916666666666666,0.8873274336283186,resume,1
NoAdapt,0.0,7,0.4814987418816445,0.4814987418816445,0.0,81.38888888888889,79.11290322580645,40.4,40.400000000000006,0.216013545046358,0.2016881955417258,0.0469273924827575,0.9536352040816328,0.8913690476190477,,0.0472175379426644,0.0,1.0,0.6410699904962258,0.2984542956618137,0.2201159285056937,0.9847028563692974,0.7847222222222223,0.8858053097345133,resume,2
NoAdapt,0.0,3,0.5113978220532972,0.5113978220532972,0.0,80.61111111111111,79.2741935483871,39.8,39.8,0.2128277777777777,0.1350554679313746,0.0252575688064098,0.9020408163265304,0.8348214285714286,,0.0455311973018549,0.0,0.9867021276595744,0.5410376210477745,0.3406778391434808,0.1691809049054806,0.9867334506565588,0.7800925925925926,0.8300530973451328,resume,3
NoAdapt,0.0,9,0.465054313421038,0.465054313421038,0.0,81.92222222222222,81.69354838709677,39.5,39.5,0.2054183664786638,0.1933501881246133,0.0389510840177536,0.9754646501457728,0.9270833333333334,,0.0320404721753794,0.0,1.0,0.6354297586271958,0.2937300487827378,0.2294302887964758,0.9889671043725464,0.8171296296296297,0.918159292035398,resume,4
NoAdapt,0.0,10,0.4674285431491567,0.4674285431491567,0.0,81.6,79.91935483870968,39.1,39.1,0.2006256686904623,0.1997454561490186,0.0380871966481208,0.9565506559766764,0.8794642857142857,,0.0252951096121416,0.0,1.0,0.598885071650074,0.3193186839570638,0.2398516877346403,0.9906592662785976,0.8240740740740741,0.9066194690265488,resume,5
Sinkhorn,0.1,1,0.591951847393462,0.5854522192731817,0.0649962708426652,77.55555555555556,77.90322580645162,37.7,37.7,0.183425364758698,0.0860833049529878,0.0482635423541069,0.9502095481049562,0.8735119047619048,,0.0016863406408094,0.0,1.0,0.5721361937126432,0.292573109433841,0.1211179377369563,0.968390415594964,0.8032407407407407,0.8286725663716814,initial,1
Sinkhorn,0.1,2,0.5356392780094282,0.5297970528192554,0.0584222300057398,79.78888888888889,79.11290322580645,39.5,39.5,0.2062173716199703,0.0738541418937848,0.0458170622587204,0.9603680758017492,0.918154761904762,,0.0337268128161888,0.0,0.9973404255319148,0.5555771654304151,0.2718337102424029,0.0995361252293232,0.9673751184513334,0.775462962962963,0.8342300884955752,initial,2
Sinkhorn,0.1,3,0.509425348423897,0.5037218284733752,0.0570352065594906,80.42222222222222,77.33870967741936,54.5,54.50000000000001,0.3574055990989824,0.0645943322988948,0.0274240411818027,0.9600765306122448,0.9077380952380952,,0.296795952782462,0.0,0.9813829787234044,0.462870460346326,0.2800024055874208,0.0712741123839777,0.965344524164072,0.7430555555555556,0.8273982300884954,initial,3
Sinkhorn,0.1,4,0.5082144006981072,0.5032224282093928,0.0499197255806825,80.81111111111112,78.62903225806451,42.0,42.0,0.2413904945035851,0.1290866149283551,0.0374232344329357,0.9566782069970846,0.8898809523809523,,0.0927487352445193,0.0,0.9707446808510638,0.5377964635555976,0.2881188765529634,0.1340621548740614,0.9780695816975769,0.7638888888888888,0.863008849557522,initial,4
Sinkhorn,0.1,5,0.4862080231731665,0.4812061605406991,0.0500186358954995,81.67777777777778,67.1774193548387,37.8,37.8,0.185565827192327,0.0821133112120835,0.0149499904364347,0.9120171282798832,0.8377976190476191,,0.0050590219224283,0.0,0.9973404255319148,0.3457878123984387,0.2381315880460899,0.1315276009930952,0.953973196155408,0.6759259259259259,0.8112920353982301,initial,5
Sinkhorn,0.1,6,0.4914352412447861,0.4894265856408903,0.0200865556261376,80.9,72.5,51.1,51.1,0.3332800919780387,0.0904095713561228,0.0158197805285453,0.9360513848396502,0.8854166666666666,,0.2681281618887015,0.0,0.9361702127659576,0.5811697754223024,0.2673326245335585,0.1008692000405142,0.9813185325571951,0.7685185185185185,0.8216283185840708,resume,1
Sinkhorn,0.1,7,0.4776421030256765,0.4755070381236415,0.0213506466127826,81.5111111111111,80.96774193548387,39.7,39.7,0.2077951528700955,0.1287873364009332,0.0155037017539143,0.9247722303206996,0.8452380952380952,,0.0354131534569983,0.0,1.0,0.5515301352589084,0.2090192291104039,0.1393469741849391,0.9699472045485312,0.7060185185185185,0.8014159292035399,resume,2
Sinkhorn,0.1,8,0.4706523865197144,0.4685027744383254,0.021496101606188,81.93333333333334,80.0,41.7,41.7,0.2389243649780048,0.097129131914132,0.0185563806444406,0.8755466472303206,0.8511904761904762,,0.0843170320404721,0.0,0.976063829787234,0.558297234229848,0.2409116485888554,0.1132444857265579,0.9759713009340734,0.7592592592592593,0.7821592920353982,resume,3
Sinkhorn,0.1,9,0.4753121146601988,0.4731225623412335,0.0218955211123411,81.64444444444445,75.64516129032258,38.3,38.3,0.19274594768095,0.1189167550646477,0.0125161465257406,0.882762390670554,0.8169642857142857,,0.0151770657672849,0.0,0.9946808510638298,0.490184926468221,0.204121697363361,0.1426317681011679,0.9612833355895491,0.6898148148148149,0.8062300884955753,resume,4
Sinkhorn,0.1,10,0.4600540257409109,0.4579481651068579,0.0210586105248765,82.18888888888888,80.7258064516129,41.5,41.5,0.2648585865123246,0.0988241087070032,0.0098831336945295,0.8503279883381925,0.8273809523809523,,0.0741989881956155,0.064516129032258,0.9813829787234044,0.416672049950054,0.2210379037239397,0.1295855565435554,0.9609449032083388,0.6875,0.8050973451327434,resume,5
